Progress,Duration (in seconds),pid3,pid3_4_TEXT,Q303,first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,therm_pubs_1,therm_dems_1,human_23,human_24,immigration_1,immigration_2,immigration_3,immigration_4,immigration_5,immigration_6,immigration_7,immigration_8,strongid,closestid,ideo7,sit_1,sit_2,sit_3,sit_4,Q301_1,Q301_2,Q301_3,Q301_4,Q301_5,Q302_1,Q302_2,Q302_3,Q302_4,Q302_5,Q306,Q308,Q310,Q310_10_TEXT,Q308.1,Q308_3_TEXT,Q309,Q309_6_TEXT,Q310.1,Q311,Q176,Q177,participant_id
100,612,Republican,,5e596c7962d4f9027fc4b594,"unequal,broken,unfair,ignorant","racism,corruption,violence,injustice","capitalist,politics,constitution,people","land,eagle,life,work","diverse,beautiful,powerful,strong","family,independence,safety,opportunity","unequal,unfair,expensive,ignorant","greed,racism,oppression,corruption","politics,constitution,people,military","land,president,life,work","wealthy,powerful,proud,strong","family,independence,leader,opportunity","unequal,broken,angry,sad","obesity,violence,injustice,drugs","western,state,people,ocean","land,president,life,work","diverse,happy,proud,strong","bravery,independence,safety,opportunity","unequal,angry,unfair,ignorant","racism,obesity,injustice,drugs","politics,constitution,people,ocean","coast,city,life,work","diverse,innovative,proud,strong","family,openness,independence,opportunity",70.0,41.0,70.0,30.0,"Weakly
support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Weakly
support","Neither oppose
nor support","Moderately
support","Moderately
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Moderate or middle of the road,Not very important,Very well,Somewhat,Rarely,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Alabama,,Agnostic (not sure if God exists),,,,,,,,This was a good service that asked some good questions and it wasn't too long.,Nothing right now.,0XI53xzzdx
100,26,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JZRDswLxyT
100,557,Democrat,,5d87e122e951a10001c3811a,"broken,sad,expensive,ignorant","greed,racism,corruption,obesity","capitalist,politics,western,constitution","mountain,coast,eagle,president","diverse,beautiful,innovative,powerful","openness,independence,safety,opportunity","unequal,angry,dangerous,ignorant","corruption,violence,injustice,drugs","capitalist,constitution,state,military","eagle,president,life,work","wealthy,powerful,happy,proud","bravery,family,independence,opportunity","unequal,unfair,expensive,ignorant","greed,racism,oppression,obesity","western,constitution,state,people","mountain,eagle,city,life","wealthy,diverse,beautiful,innovative","family,openness,independence,opportunity","unequal,unfair,expensive,ignorant","racism,oppression,obesity,injustice","capitalist,politics,constitution,military","city,president,life,work","wealthy,diverse,innovative,powerful","family,independence,safety,opportunity",30.0,100.0,91.0,100.0,"Strongly
oppose","Strongly
support","Moderately
support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Extremely important,Extremely well,A great deal,Rarely,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,California,,Buddhism,,,,,,,,General broad choices that were pretty black and white. ,None that I can think of.,Qro5ipfF58
100,1112,Democrat,,5ddcad651e70dac139c7f413,"unequal,broken,angry,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,constitution","land,eagle,president,life","wealthy,diverse,beautiful,powerful","family,independence,justice,opportunity","angry,dangerous,expensive,ignorant","corruption,obesity,violence,drugs","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,broken,unfair,ignorant","racism,oppression,corruption,injustice","capitalist,politics,western,military","mountain,land,coast,eagle","wealthy,diverse,beautiful,powerful","family,openness,independence,opportunity","broken,angry,dangerous,ignorant","greed,obesity,violence,drugs","politics,western,constitution,military","land,eagle,president,life","wealthy,powerful,happy,proud","bravery,independence,justice,opportunity",40.0,80.0,65.0,90.0,"Moderately
oppose","Strongly
support","Strongly
support","Strongly
support","Moderately
support","Moderately
support","Strongly
support","Moderately
oppose",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Very important,Very well,Somewhat,Rarely,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Ohio,,Agnostic (not sure if God exists),,,,,,,,I think it's very relevant as we are divided and can't seem to find common ground. ,,Padg66kOWD
100,426,Democrat,,5be44940d90ba10001bcb418,"unequal,broken,unfair,expensive","greed,racism,obesity,injustice","capitalist,politics,constitution,military","mountain,land,coast,president","diverse,innovative,powerful,proud","openness,independence,leader,opportunity","angry,unfair,expensive,ignorant","greed,obesity,violence,drugs","capitalist,politics,constitution,military","mountain,land,eagle,president","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,broken,dangerous,expensive","greed,racism,oppression,corruption","capitalist,politics,state,military","land,coast,eagle,president","diverse,beautiful,innovative,strong","bravery,openness,independence,opportunity","unequal,unfair,expensive,ignorant","greed,racism,corruption,obesity","capitalist,politics,constitution,military","mountain,coast,eagle,president","beautiful,powerful,proud,strong","independence,justice,leader,opportunity",20.0,70.0,20.0,90.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Strongly
oppose","Strongly
support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Extremely important,Very well,A great deal,All of the time,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Washington,,Agnostic (not sure if God exists),,,,,,,,i think it is more interesting than some of the other ones i have done,no it was pretty good,nSPs1tJsZ9
100,815,Republican,,5c6c597c42e33400019c72a5,"unequal,dangerous,sad,ignorant","greed,racism,violence,drugs","politics,western,constitution,people","eagle,president,life,work","diverse,innovative,proud,strong","bravery,openness,independence,opportunity","broken,angry,dangerous,ignorant","corruption,violence,injustice,drugs","capitalist,politics,constitution,people","land,eagle,president,work","wealthy,innovative,powerful,strong","bravery,family,independence,opportunity","unequal,broken,angry,dangerous","greed,racism,oppression,injustice","western,constitution,state,people","eagle,president,life,work","diverse,innovative,happy,strong","family,openness,independence,opportunity","broken,angry,unfair,dangerous","racism,oppression,injustice,drugs","capitalist,politics,western,people","eagle,president,life,work","diverse,innovative,proud,strong","bravery,family,independence,opportunity",71.0,61.0,51.0,50.0,"Moderately
support","Strongly
support","Moderately
support","Moderately
support","Neither oppose
nor support","Moderately
support","Strongly
support","Moderately
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,Somewhat,Never,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Pennsylvania,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,It was not really representative of America.,"Further define what your ideas of Republicans and Democrats should represent in the study. Do they represent politicians, or just every day people?",dm8B4DK5cA
100,1066,Republican,,5e2d3e464b8a1a33ef37b241,"broken,angry,sad,expensive","greed,corruption,obesity,violence","capitalist,politics,western,people","land,city,life,work","wealthy,diverse,beautiful,powerful","bravery,family,openness,opportunity","broken,angry,sad,expensive","corruption,obesity,violence,injustice","capitalist,politics,state,people","land,president,life,work","beautiful,powerful,proud,strong","bravery,family,safety,leader","unequal,unfair,dangerous,ignorant","greed,racism,obesity,injustice","politics,western,constitution,people","land,city,president,work","diverse,innovative,powerful,proud","family,openness,independence,opportunity","angry,dangerous,sad,expensive","greed,corruption,obesity,violence","capitalist,politics,constitution,people","land,president,life,work","wealthy,diverse,beautiful,powerful","bravery,family,safety,opportunity",97.0,2.0,100.0,20.0,"Strongly
support","Strongly
oppose","Moderately
oppose","Strongly
oppose","Neither oppose
nor support","Moderately
oppose","Strongly
oppose","Strongly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely conservative,Extremely important,Extremely well,A great deal,All of the time,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Texas,,Other Christianity (including non-denominational),,,,,,,,It is to better understand how politics affects the way of living of people. And how people think about others in alignment with their political party.,"Thank you for this meaningful study! It would be best if you could include some scenarios or stories, so people would be much more involved in participating in the study.",DFjcK0oGUD
100,1198,Democrat,,6011c5d6a3924717b7d4b25f,"unequal,broken,unfair,expensive","racism,oppression,violence,drugs","politics,western,constitution,people","city,president,life,work","beautiful,happy,proud,strong","family,justice,safety,leader","broken,angry,dangerous,sad","racism,oppression,violence,drugs","politics,constitution,state,military","mountain,land,life,work","wealthy,innovative,happy,strong","openness,independence,leader,opportunity","unequal,angry,expensive,ignorant","greed,racism,injustice,drugs","western,constitution,state,military","land,coast,city,work","diverse,beautiful,powerful,proud","bravery,independence,safety,leader","broken,angry,dangerous,sad","oppression,corruption,obesity,violence","capitalist,politics,constitution,people","land,eagle,city,work","beautiful,innovative,powerful,happy","family,openness,justice,leader",81.0,50.0,86.0,92.0,"Moderately
support","Moderately
support","Strongly
support","Moderately
support","Neither oppose
nor support","Weakly
oppose","Weakly
support","Weakly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Extremely well,Somewhat,Rarely,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,California,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,How the different political arms for the country perceive ideas,,psvgHsMwdi
100,990,Republican,,5de7c6d448241d73d36ceaef,"unequal,broken,unfair,expensive","racism,corruption,obesity,drugs","politics,state,people,military","land,city,life,work","beautiful,powerful,proud,strong","bravery,family,independence,safety","broken,angry,dangerous,expensive","corruption,violence,injustice,drugs","politics,state,people,military","land,city,president,work","wealthy,innovative,powerful,strong","openness,independence,leader,opportunity","broken,angry,sad,expensive","greed,oppression,corruption,obesity","politics,constitution,state,people","land,president,life,work","diverse,powerful,proud,strong","bravery,family,independence,opportunity","unequal,broken,unfair,expensive","racism,obesity,injustice,drugs","politics,constitution,state,people","land,city,president,life","diverse,beautiful,powerful,proud","family,openness,independence,opportunity",81.0,81.0,82.0,83.0,"Moderately
support","Moderately
support","Moderately
support","Moderately
support","Moderately
support","Moderately
support","Moderately
support","Moderately
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,Somewhat,Some of the time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Michigan,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,Good,None,G0Z6xncotj
100,250,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7EZbL15x45
