pid3,Q5,Q7,pre_therm_pubs,pre_therm_dems,pre_med_A_1,pre_med_A_2,pre_med_A_3,pre_med_B_1,pre_med_B_2,pre_med_B_3,pre_dehum_pubs,pre_dehum_dems,first_1,first_2,first_3,first_4,first_5,first_6,post_dehum_pubs,post_dehum_dems,post_therm_pubs,post_therm_dems,post_mediators_A_1,post_mediators_A_2,post_mediators_B_1,post_mediators_B_2,Q64,id_1,id_2,id_3,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,consent,outgroup,cond
Democrat,R,5,54,76,,,,Somewhat disagree,Somewhat agree,,83,83,"broken,angry,dangerous,expensive","greed,racism,injustice,drugs","politics,constitution,state,people","coast,city,president,life","wealthy,innovative,powerful,proud","family,justice,safety,leader",49,59,81,79,,,Somewhat disagree,Neither agree nor disagree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Some of the time,"angry,dangerous,sad,ignorant","greed,racism,oppression,obesity","politics,constitution,ocean,military","land,eagle,city,work","wealthy,powerful,proud,strong","bravery,openness,justice,safety","broken,unfair,expensive,ignorant","racism,obesity,violence,injustice","politics,western,people,military","land,coast,life,work","diverse,innovative,proud,strong","family,independence,safety,leader","unequal,sad,expensive,ignorant","oppression,corruption,violence,drugs","capitalist,politics,constitution,state","mountain,coast,life,work","diverse,beautiful,innovative,powerful","bravery,openness,safety,leader","Yes, you may use my data",Republican,lowICD
Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democrat,R,5,5,75,,,,Somewhat agree,Strongly disagree,Strongly agree,100,100,"broken,unfair,dangerous,expensive","oppression,corruption,violence,injustice","capitalist,politics,people,military","land,city,president,work","diverse,innovative,proud,strong","family,openness,justice,opportunity",100,100,5,75,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Some of the time,"unequal,angry,sad,ignorant","greed,obesity,violence,drugs","politics,constitution,state,people","land,president,life,work","wealthy,innovative,powerful,proud","bravery,independence,justice,safety","unequal,dangerous,expensive,ignorant","greed,obesity,violence,drugs","politics,western,constitution,military","land,eagle,president,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,unfair,expensive,ignorant","racism,oppression,violence,injustice","capitalist,politics,state,people","land,president,life,work","diverse,innovative,powerful,strong","openness,independence,justice,opportunity","Yes, you may use my data",Republican,highICD
Republican,R,5,75,0,Somewhat agree,Strongly disagree,Strongly agree,,,,100,100,"unequal,broken,unfair,expensive","greed,racism,corruption,violence","capitalist,constitution,people,military","land,eagle,president,work","diverse,innovative,powerful,strong","independence,safety,leader,opportunity",100,100,75,0,Somewhat agree,Strongly disagree,,,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Rarely,"broken,unfair,dangerous,expensive","greed,corruption,violence,drugs","capitalist,politics,constitution,military","land,eagle,president,work","wealthy,powerful,proud,strong","bravery,family,leader,opportunity","unequal,broken,unfair,expensive","greed,racism,corruption,violence","capitalist,politics,constitution,military","eagle,president,life,work","diverse,innovative,powerful,proud","bravery,safety,leader,opportunity","unequal,broken,unfair,expensive","racism,oppression,corruption,injustice","capitalist,politics,constitution,people","eagle,president,life,work","diverse,beautiful,innovative,proud","family,openness,justice,safety","Yes, you may use my data",Democrat,highICD
Democrat,R,5,24,83,,,,Somewhat agree,Somewhat agree,Somewhat agree,76,96,"unequal,dangerous,expensive,ignorant","racism,corruption,violence,injustice","politics,constitution,people,military","eagle,city,president,life","diverse,innovative,proud,strong","independence,safety,leader,opportunity",78,83,34,83,,,Somewhat agree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"angry,dangerous,sad,expensive","greed,racism,oppression,drugs","western,constitution,state,military","land,coast,eagle,president","wealthy,powerful,happy,proud","bravery,justice,leader,opportunity","unequal,unfair,dangerous,ignorant","racism,oppression,corruption,drugs","capitalist,politics,constitution,people","land,eagle,president,work","diverse,beautiful,powerful,strong","independence,justice,safety,opportunity","unequal,broken,unfair,ignorant","racism,corruption,violence,injustice","constitution,state,people,ocean","land,coast,eagle,life","diverse,innovative,proud,strong","family,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,30,70,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,100,100,"unequal,unfair,expensive,ignorant","racism,oppression,obesity,injustice","capitalist,politics,constitution,people","land,president,life,work","diverse,innovative,powerful,proud","family,independence,leader,opportunity",100,100,30,70,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Some of the time,"broken,unfair,dangerous,expensive","greed,corruption,violence,drugs","constitution,state,ocean,military","mountain,land,eagle,president","wealthy,powerful,proud,strong","bravery,independence,justice,leader","unequal,unfair,dangerous,ignorant","greed,violence,injustice,drugs","politics,constitution,state,military","mountain,eagle,president,life","diverse,innovative,proud,strong","family,independence,justice,opportunity","unequal,broken,unfair,ignorant","racism,oppression,obesity,injustice","capitalist,politics,constitution,people","eagle,president,life,work","diverse,beautiful,innovative,strong","bravery,family,justice,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,55,65,,,,Somewhat disagree,Somewhat disagree,Strongly agree,97,98,"unequal,angry,unfair,ignorant","greed,racism,corruption,injustice","capitalist,politics,state,military","land,coast,eagle,city","wealthy,diverse,powerful,proud","family,independence,justice,opportunity",98,95,50,70,,,Somewhat agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Rarely,"broken,dangerous,sad,expensive","greed,oppression,corruption,drugs","capitalist,western,constitution,military","mountain,eagle,president,work","beautiful,powerful,proud,strong","independence,justice,leader,opportunity","unequal,broken,unfair,expensive","greed,corruption,violence,drugs","capitalist,western,people,military","mountain,land,eagle,president","wealthy,powerful,proud,strong","independence,justice,leader,opportunity","unequal,broken,unfair,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,people","land,coast,city,work","wealthy,diverse,innovative,powerful","bravery,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,7,100,,,,Somewhat agree,Strongly disagree,Somewhat agree,100,100,"unequal,broken,expensive,ignorant","racism,oppression,corruption,injustice","capitalist,politics,constitution,military","land,eagle,president,work","wealthy,diverse,beautiful,innovative","bravery,independence,leader,opportunity",100,100,9,100,,,Somewhat agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,All of the time,"broken,angry,unfair,sad","corruption,obesity,violence,drugs","politics,western,state,people","mountain,land,eagle,president","beautiful,powerful,happy,proud","bravery,openness,justice,opportunity","broken,dangerous,sad,expensive","oppression,corruption,violence,injustice","capitalist,politics,western,military","eagle,president,life,work","wealthy,innovative,powerful,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,expensive","greed,racism,oppression,corruption","capitalist,politics,people,military","eagle,city,president,work","wealthy,diverse,powerful,strong","bravery,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Republican,R,5,81,19,Somewhat agree,Strongly disagree,Strongly agree,,,,100,100,"broken,angry,sad,expensive","greed,corruption,obesity,drugs","politics,constitution,people,military","mountain,eagle,president,work","diverse,beautiful,proud,strong","family,independence,justice,opportunity",100,100,80,19,Neither agree nor disagree,Strongly disagree,,,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,dangerous,sad","greed,violence,injustice,drugs","politics,constitution,people,military","land,eagle,president,work","wealthy,powerful,proud,strong","bravery,family,independence,opportunity","broken,unfair,sad,expensive","racism,obesity,violence,drugs","politics,western,constitution,military","land,eagle,president,work","wealthy,beautiful,powerful,strong","bravery,family,leader,opportunity","unequal,broken,angry,unfair","racism,corruption,violence,drugs","politics,western,constitution,people","eagle,president,life,work","wealthy,beautiful,powerful,strong","family,independence,leader,opportunity","Yes, you may use my data",Democrat,highICD
Democrat,R,5,42,81,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,30,83,"unequal,angry,expensive,ignorant","oppression,corruption,injustice,drugs","politics,constitution,state,people","land,city,president,life","wealthy,powerful,happy,proud","bravery,openness,justice,leader",42,66,14,86,,,Neither agree nor disagree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Some of the time,"broken,sad,expensive,ignorant","corruption,obesity,injustice,drugs","politics,state,people,military","coast,city,life,work","wealthy,powerful,proud,strong","openness,justice,safety,opportunity","broken,unfair,sad,expensive","oppression,corruption,obesity,injustice","politics,people,ocean,military","land,eagle,city,president","diverse,innovative,happy,strong","bravery,family,openness,opportunity","broken,angry,dangerous,sad","greed,racism,violence,injustice","capitalist,politics,constitution,people","mountain,coast,eagle,work","wealthy,diverse,beautiful,proud","openness,independence,justice,safety","Yes, you may use my data",Republican,lowICD
